nome,genere,tipo,professione_originale,macro_categoria
Lucio Dalla,M,storica,Cantautore,"Musica, teatro e cinema"
Luciano Proni,M,storica,Partigiano,Resistenza e antifascismo
Luciano Manara,M,storica,Patriota,"Patrioti, militari ed esploratori"
Luchino Visconti,M,storica,Regista,"Musica, teatro e cinema"
Luca Marenzio,M,storica,Compositore,"Musica, teatro e cinema"
Luca Ghini,M,storica,Botanico,Scienze e medicina
Luca della Robbia,M,storica,"Scultore, ceramista",Arte visiva e architettura
Lorenzo Sabatini,M,storica,Pittore,Arte visiva e architettura
Lorenzo Pasinelli,M,storica,Pittore,Arte visiva e architettura
Lorenzo Ghiberti,M,storica,"Scultore, orafo",Arte visiva e architettura
Lorenzo Costa,M,storica,Pittore,Arte visiva e architettura
Lorenzo Bartolini,M,storica,Scultore,Arte visiva e architettura
Lodovico Varthema,M,storica,Esploratore,"Patrioti, militari ed esploratori"
Loderingo degli Andalò,M,storica,Religioso (Frati Gaudenti),Religione
Livio Zambeccari,M,storica,"Aviatore, patriota","Patrioti, militari ed esploratori"
Lionello Spada,M,storica,Pittore,Arte visiva e architettura
Lino Sighinolfi,M,storica,"Bibliotecario, storico","Filosofia, storia e accademia"
Licinio Cappelli,M,storica,Editore,Letteratura e giornalismo
Lev Tolstoj,M,storica,Scrittore,Letteratura e giornalismo
Leonetto Cipriani,M,storica,"Politico, patriota",Politica e diritto
Leandro Alberti,M,storica,Storico,"Filosofia, storia e accademia"
Lajos Tukory,M,storica,Patriota,"Patrioti, militari ed esploratori"
Karl Marx,M,storica,"Filosofo, economista",Politica e diritto
Jurij Gagarin,M,storica,Cosmonauta,Scienze e medicina
Jules Verne,M,storica,Scrittore,Letteratura e giornalismo
Jozef Joachim Grabinski,M,storica,Generale napoleonico,"Patrioti, militari ed esploratori"
Johann Wolfgang Goethe,M,storica,"Scrittore, filosofo","Filosofia, storia e accademia"
Johann Sebastian Bach,M,storica,Compositore,"Musica, teatro e cinema"
Jodiche Naldi,M,storica,Partigiano,Resistenza e antifascismo
Jacopo di Paolo,M,storica,Pittore,Arte visiva e architettura
Jacopo della Quercia,M,storica,Scultore,Arte visiva e architettura
Jack London,M,storica,Scrittore,Letteratura e giornalismo
Italo Svevo,M,storica,Scrittore,Letteratura e giornalismo
Isaac Newton,M,storica,"Fisico, matematico",Scienze e medicina
Ippolito Nievo,M,storica,"Scrittore, patriota",Letteratura e giornalismo
Innocenzo da Imola,M,storica,Pittore,Arte visiva e architettura
Indro Montanelli,M,storica,"Giornalista, scrittore",Letteratura e giornalismo
Ilio Barontini,M,storica,Partigiano,Resistenza e antifascismo
Iacopo Barozzi (Il Vignola),M,storica,Architetto,Arte visiva e architettura
Honoré de Balzac,M,storica,Scrittore,Letteratura e giornalismo
Henghel Gualdi,M,storica,Musicista jazz,"Musica, teatro e cinema"
Gustav Mahler,M,storica,Compositore,"Musica, teatro e cinema"
Guido Zucchini,M,storica,"Architetto, storico dell'arte","Filosofia, storia e accademia"
Guido Reni,M,storica,Pittore,Arte visiva e architettura
Guido Guinizelli,M,storica,Poeta,Letteratura e giornalismo
Guido Gozzano,M,storica,Poeta crepuscolare,Letteratura e giornalismo
Guglielmo Pizzirani,M,storica,Pittore,Arte visiva e architettura
Guglielmo Pepe,M,storica,"Generale, patriota","Patrioti, militari ed esploratori"
Guglielmo Oberdan,M,storica,Patriota irredentista,"Patrioti, militari ed esploratori"
Guglielmo Marconi,M,storica,"Fisico, inventore",Scienze e medicina
Gregorio XIII (Ugo Boncompagni),M,storica,Papa (calendario gregoriano),Religione
Graziolo Bambaglioli,M,storica,"Cancelliere, dantista","Filosofia, storia e accademia"
Giuseppe Verdi,M,storica,Compositore,"Musica, teatro e cinema"
Giuseppe Torelli,M,storica,"Compositore, violinista","Musica, teatro e cinema"
Giuseppe Tellera,M,storica,Generale,"Patrioti, militari ed esploratori"
Giuseppe Saragat,M,storica,"Politico, Pres. Repubblica",Politica e diritto
Giuseppe Ruggi,M,storica,Chirurgo,Scienze e medicina
Giuseppe Rolli,M,storica,Pittore,Arte visiva e architettura
Giuseppe Petroni,M,storica,Patriota,"Patrioti, militari ed esploratori"
Giuseppe Parini,M,storica,Poeta,Letteratura e giornalismo
Giuseppe Minganti,M,storica,Imprenditore,Altro / istituzionale
Giuseppe Mazzini,M,storica,"Patriota, politico",Politica e diritto
Giuseppe Martucci,M,storica,Compositore,"Musica, teatro e cinema"
Giuseppe Maria Mitelli,M,storica,"Pittore, incisore",Arte visiva e architettura
Giuseppe Maria Mazza,M,storica,Scultore,Arte visiva e architettura
Giuseppe Lipparini,M,storica,"Critico letterario, poeta","Filosofia, storia e accademia"
Giuseppe Guidicini,M,storica,"Storico, archivista","Filosofia, storia e accademia"
Giuseppe Gozzetti,M,storica,"Partigiano, politico",Resistenza e antifascismo
Giuseppe Gioannetti,M,storica,"Medico, naturalista",Scienze e medicina
Giuseppe Gioacchino Belli,M,storica,Poeta,Letteratura e giornalismo
Giuseppe Giacosa,M,storica,Drammaturgo,"Musica, teatro e cinema"
Giuseppe Garibaldi,M,storica,"Generale, patriota","Patrioti, militari ed esploratori"
