QUARTIERE;TIPOLOGIA;NOME;DATA ISTITUZIONE;TIPO;INDIRIZZO;ID;DELIBERA;LABEL1;LABEL2;CLASSIFICAZIONE;NOME COMPLETO;FALDONE;SED_COMM;NOME;DATI ANAGRAFICI;Geo Point;Geo Shape;ISTITUZIONE;ISTITUZIONE ANNO
Borgo Panigale - Reno;Parco;Artiste;2018-03-06;Aree verdi (57);via Buonarroti, via Vighi, Fiume Reno;0;Delibera di Giunta 6 marzo 2018;Parco delle Artiste;Artiste;Nominativo generico;Artiste;32 - Delibere del 2017;12 luglio 2017 e 29 novembre 2017;Artiste;;44.49699086104128, 11.280024117720158;"{""coordinates"": [[[11.28199620935635, 44.49755361159208], [11.281937141597558, 44.49749875142458], [11.281886016601462, 44.49745659254036], [11.281814536511071, 44.49740154585596], [11.281736027221042, 44.49732695037443], [11.282067363758488, 44.49717801147642], [11.281970205318133, 44.497081579995765], [11.282118323892886, 44.497012198171305], [11.282290114116913, 44.496907424068134], [11.282182177444323, 44.49676590110833], [11.281716510719262, 44.496910516865945], [11.28125735472932, 44.49615754340961], [11.279624444487544, 44.496613292652995], [11.279434155375078, 44.49630671760444], [11.279324668889243, 44.49634366700862], [11.279113659763018, 44.496395240515895], [11.277556027191975, 44.49704870892673], [11.27771146711472, 44.49724751413112], [11.2778200511731, 44.49732300630042], [11.277908447212829, 44.49738051638337], [11.27799704285913, 44.4974324077607], [11.278145480049451, 44.49743479093949], [11.278560807205949, 44.497453547928586], [11.278918406396995, 44.49746564783973], [11.279170418949127, 44.49747752016118], [11.279417877270749, 44.49751590377971], [11.279995791079685, 44.49751257729506], [11.280669482076418, 44.49754057534577], [11.28170149065393, 44.497587227393204], [11.281880557991569, 44.497557873096746], [11.28199620935635, 44.49755361159208]]], ""type"": ""Polygon""}";2016-2020;2019
Borgo Panigale - Reno;Giardino;Lucia Casalini;2018-07-17;Aree verdi (57);via Lorenzetti, via Vitale da Bologna, via Wiligelmo;0;Delibera di Giunta 17 luglio 2018;Giardino Lucia Casalini;Casalini;Pittrice;Lucia Casalini Torelli;32 - Delibere del 2017;18 aprile 2018;Lucia Casalini;Bologna, 1677-1762;44.49107948656092, 11.292082484702167;"{""coordinates"": [[[11.292416959338922, 44.491538954904385], [11.292489609030538, 44.49138636925056], [11.292636145089666, 44.491116130076655], [11.292782993874809, 44.49087753298897], [11.292812990531301, 44.49084919215683], [11.292813158855582, 44.49084903297779], [11.292818928759264, 44.49084347827859], [11.2927809622595, 44.49083716819588], [11.292713295589696, 44.490823861019045], [11.292552808997538, 44.49079070571751], [11.292491948503423, 44.49077781345097], [11.29239230163366, 44.49075701206708], [11.292357350021653, 44.490750647729925], [11.29231749339391, 44.49074588172001], [11.292300112074116, 44.49074216166852], [11.292275838772898, 44.490736937257], [11.291765076793116, 44.49062962910972], [11.291763353580041, 44.4906297512934], [11.291750963385955, 44.49063332912963], [11.29171858022488, 44.49064621343677], [11.291697438503267, 44.49066560431718], [11.291687352152007, 44.49068703257933], [11.291650044023818, 44.49077045659984], [11.291597534889446, 44.4908653373865], [11.291596918617639, 44.490865708806574], [11.291421946481028, 44.49130085122459], [11.29143458962076, 44.49132039689038], [11.291460058889674, 44.49133666669166], [11.29149997408849, 44.49135195658423], [11.29157492349688, 44.4913716957235], [11.291948991516348, 44.4914501870461], [11.291951020819777, 44.49144986955337], [11.292140435661477, 44.49148497438036], [11.292416959338922, 44.491538954904385]]], ""type"": ""Polygon""}";2016-2020;2019
Savena;Giardino;Marie Curie;2019-04-30;Aree verdi (57);via Favilli;0;Delibera di Giunta 30 aprile 2019;Giardino Marie Curie;Curie;Scienziata, Premio Nobel;Maria Salomea Sklodowska;33 - Delibere 2019-2020-2021;5 dicembre 2018;Marie Curie;Varsavia (Polonia), 1867 - Passy (Francia), 1934;44.4704900119112, 11.375270916860156;"{""coordinates"": [[[11.374970066200612, 44.470756276195324], [11.37513653325351, 44.470735694856934], [11.375216776484056, 44.47077051675763], [11.375246770544218, 44.47081059552523], [11.375279304762975, 44.47096885433717], [11.375290108807603, 44.47101487801551], [11.375306585191518, 44.47108678559621], [11.375246419276484, 44.47111499839121], [11.375292943458593, 44.47119528604742], [11.375303580466058, 44.471211859889195], [11.375386986667445, 44.471171300336366], [11.375418511771597, 44.47115613370657], [11.375501960973802, 44.47111582028603], [11.37572900235166, 44.47094872831833], [11.375386226740574, 44.46989036191141], [11.375222632396838, 44.46989612356778], [11.375189368038074, 44.46989783638964], [11.375198399095105, 44.46997158691819], [11.37483816636709, 44.469998637878696], [11.374792454005888, 44.47002643595619], [11.3748430373555, 44.47022857076791], [11.37489973923363, 44.47046246840442], [11.374959363136838, 44.47070687258957], [11.374970066200612, 44.470756276195324]]], ""type"": ""Polygon""}";2016-2020;2019
San Donato - San Vitale;Giardino;Lina Merlin;2019-04-30;Aree verdi (57);via Pallavicini, via Martiri della Croce del Biacco;0;Delibera di Giunta 30 aprile 2019;Giardino Lina Merlin;Merlin;Senatrice della Repubblica e Professoressa;Angelina Merlin;33 - Delibere 2019-2020-2021;5 dicembre 2018;Lina Merlin;Pozzonovo (PD), 1887 - Padova, 1979;44.490663282692545, 11.401342848723926;"{""coordinates"": [[[11.401061326282864, 44.491128939843925], [11.401931394064661, 44.49074956275903], [11.401556825580304, 44.490328746470965], [11.401367761639836, 44.49011592702111], [11.401100238203233, 44.49023675751234], [11.401167004608931, 44.49031211059441], [11.401144340793467, 44.49032419521606], [11.4012489527647, 44.490449528946186], [11.40097286088504, 44.49054990253029], [11.401110903269606, 44.490643036505766], [11.40078268312716, 44.49082904204739], [11.401061326282864, 44.491128939843925]]], ""type"": ""Polygon""}";2021-2025;2021
Savena;Giardino;Florence Nightingale;2019-04-30;Aree verdi (57);via delle Armi;0;Delibera di Giunta 30 aprile 2019;Giardino Florence Nightingale;Nightingale;Fondatrice dell'assistenza infermieristica moderna;Florence Nightingale;33 - Delibere 2019-2020-2021;5 dicembre 2018;Florence Nightingale;Firenze, 1820 - Londra, 1910;44.47047609305508, 11.374078464942842;"{""coordinates"": [[[11.37402151781418, 44.47080052780312], [11.374454999660221, 44.470551002582155], [11.374398407603776, 44.47048980690924], [11.374194828309802, 44.47028755892918], [11.374251245308322, 44.47027351954227], [11.374286219727814, 44.47024916570116], [11.374232437863819, 44.47018361587657], [11.374285492623109, 44.47016104692812], [11.374246791349016, 44.470097339922226], [11.374167180734426, 44.47014367507594], [11.37403583103834, 44.47022294508042], [11.373660719587876, 44.47044250442816], [11.373699716269057, 44.47050417208703], [11.373803050960687, 44.470623678207254], [11.373900639091783, 44.47071000355891], [11.373921222916188, 44.47072472441213], [11.373938615821078, 44.47073109851349], [11.373951999979214, 44.47074381261543], [11.37402151781418, 44.47080052780312]], [[11.37400556572174, 44.47050098517798], [11.37386686224938, 44.470583483684045], [11.373754356810766, 44.47048693657946], [11.373894256033326, 44.47039937252362], [11.37400556572174, 44.47050098517798]]], ""type"": ""Polygon""}";2016-2020;2019
Santo Stefano;Via;Altabella;1874-1877;Strade (79);da via dell'Indipendenza a via Oberdan;0;Antica denominazione recepita nella riforma toponomastica del 1874-1877;Via Altabella;Altabella;Nominativo generico;Altabella;1 - Delibere dal 1807 al 1945;;Altabella;;44.49536520898191, 11.34421251298821;"{""coordinates"": [[[11.344536753054205, 44.49529705564772], [11.344960089562399, 44.495246514761], [11.345026658157487, 44.495247824517534], [11.345027786088455, 44.49524781025041], [11.34502890794634, 44.49524772492579], [11.345348553913867, 44.49521288382518], [11.34534870935951, 44.495212866268496], [11.345348925147658, 44.49521283810251], [11.345639303725717, 44.49517479944396], [11.345641312592843, 44.49517441165749], [11.345643204972406, 44.49517379309089], [11.345644929239254, 44.495172960619115], [11.345646438354462, 44.495171936952495], [11.345647691148612, 44.49517075001716], [11.345648653444872, 44.495169432193315], [11.345649298991408, 44.49516801943171], [11.345649610177482, 44.49516655027306], [11.34564957851391, 44.495165064796666], [11.345649204864623, 44.49516360352682], [11.345648499423099, 44.49516220632757], [11.345647481434227, 44.495160911315125], [11.345646178669332, 44.49515975381789], [11.34564462666852, 44.49515876541296], [11.345642867771145, 44.495157973064565], [11.345640949960757, 44.49515739838838], [11.345638925556088, 44.49515705706202], [11.345636849783801, 44.49515695839718], [11.34563477927188, 44.49515710508566], [11.345344626933255, 44.49519511534148], [11.345026245952957, 44.49522981929757], [11.344959583480671, 44.49522850589168], [11.344958371258224, 44.495228517042044], [11.344957168345038, 44.49522862544106], [11.34453222252299, 44.49527935760824], [11.344531447719541, 44.495279467871555], [11.344302962109769, 44.49531738629615], [11.344302649695312, 44.49531744122309], [11.344302334447594, 44.49531750225257], [11.343875239767623, 44.495405093192865], [11.343875026919639, 44.49540513722405], [11.343780264727434, 44.49542586076955], [11.343779710044188, 44.495425993293125], [11.343778636493383, 44.49542630756769], [11.34366458104622, 44.495464471127555], [11.342913282642261, 44.49556267181738], [11.342792425801122, 44.49557840892467], [11.342790415995013, 44.495578795095845], [11.342788522311753, 44.49557941217611], [11.342786796413959, 44.4955802433306], [11.342785285386805, 44.49558126588415], [11.342784030453481, 44.49558245193987], [11.342783065850545, 44.49558376914034], [11.34278241789391, 44.49558518155021], [11.342782104260868, 44.49558665063675], [11.342782133507882, 44.49558813632093], [11.342782504837084, 44.49558959807096], [11.342783208118071, 44.49559099600791], [11.342784224164276, 44.49559229199393], [11.342785525256378, 44.495593450672374], [11.34278707589857, 44.49559444043274], [11.342788833786889, 44.49559523427278], [11.34279075096337, 44.49559581053525], [11.342792775124405, 44.49559615349891], [11.342794851047666, 44.49559625380713], [11.342796922098675, 44.495596108723426], [11.342917789694912, 44.49558036969637], [11.343670705343143, 44.49548195668841], [11.343672262390356, 44.495481679141264], [11.343673757492146, 44.49548126238049], [11.343788474124768, 44.49544287778002], [11.343882215312277, 44.495422377289565], [11.344308961042515, 44.49533486155676], [11.344536753054205, 44.49529705564772]]], ""type"": ""Polygon""}";Pre 1900;1878
Borgo Panigale - Reno;Via;Egnazia;1935-06-25;Strade (79);da via Speranza, non ha sfogo;0;Delibera del Podesta' 25 giugno 1935;Via Egnazia;Egnazia;Nominativo generico;Egnazia;1 - Delibere dal 1807 al 1945;29 gennaio 1935;Egnazia;;44.506234217419596, 11.298106953814182;"{""coordinates"": [[[11.299445278800095, 44.50584549993253], [11.299443574382911, 44.50584555815513], [11.299441897059957, 44.50584578048889], [11.299440277706772, 44.50584616284075], [11.299088171919943, 44.505948617887306], [11.299088086751503, 44.50594864299256], [11.298517150343129, 44.50611121141498], [11.29809864388588, 44.506229214819506], [11.29809851674462, 44.506229249410396], [11.29774338400995, 44.50632664306313], [11.297743309531095, 44.50632666418333], [11.297100746163379, 44.50650628816118], [11.296760514175975, 44.506600105394405], [11.296758644773885, 44.50660075213657], [11.296756949961289, 44.5066016097583], [11.296755475975008, 44.506602654862576], [11.296754263027433, 44.506603858937524], [11.296753344209485, 44.50660518913425], [11.296752744587806, 44.50660660916303], [11.29675248052097, 44.50660808028338], [11.296752559213132, 44.50660956236092], [11.296752978517512, 44.50661101496233], [11.296753726994956, 44.506612398458486], [11.29675478422599, 44.50661367510553], [11.296756121367919, 44.50661481007466], [11.29675770194166, 44.50661577240233], [11.296759482826957, 44.5066165358349], [11.296761415438766, 44.50661707954498], [11.296763447052713, 44.506617388699496], [11.296765522243502, 44.506617454864475], [11.296767584396992, 44.506617276234984], [11.296769577254734, 44.5066168576845], [11.297109861128433, 44.50652302628234], [11.297752404978993, 44.50634340484027], [11.297752479537913, 44.506343385911215], [11.298107677811984, 44.50624598301632], [11.298107804954386, 44.50624594842639], [11.298526482592086, 44.506127901851805], [11.299097541229253, 44.505965304840494], [11.29909762563017, 44.50596527974956], [11.299449819687199, 44.50586280271439], [11.299451732355958, 44.505862104832445], [11.299453450262824, 44.50586118476044], [11.29945492333162, 44.50586006931766], [11.299456108623394, 44.50585879101858], [11.299456971588057, 44.50585738712519], [11.299457487071466, 44.50585589856069], [11.299457640048542, 44.50585436871659], [11.299457426061148, 44.50585284218775], [11.299456851347909, 44.5058513634724], [11.299455932662264, 44.50584997567488], [11.29945469678398, 44.50584871924916], [11.299453179738478, 44.505847630819574], [11.299451425746662, 44.5058467421131], [11.299449485935929, 44.5058460790347], [11.299447416849862, 44.505845660912094], [11.299445278800095, 44.50584549993253]]], ""type"": ""Polygon""}";1931-1935;1935
Borgo Panigale - Reno;Via;Vittoria;1980-04-23;Strade (79);da via Speranza a via Battindarno;0;Delibera del Consiglio Comunale 23 aprile 1980;Via Vittoria;Vittoria;Nominativo generico;Vittoria Scalambrino;7 - Delibere dal 1980 al 1983;31 marzo 1980;Vittoria;Campana (CS), 1894-1944;44.504040115355195, 11.297417126351577;"{""coordinates"": [[[11.299394716226054, 44.50328661247746], [11.299392630813282, 44.50328670952392], [11.299390596716252, 44.503287052490194], [11.299388670281763, 44.50328763187531], [11.298659294542986, 44.503559735873814], [11.298227364712057, 44.5037212656269], [11.298226965093903, 44.503721422355525], [11.297731540219468, 44.50392297789721], [11.297189192782811, 44.50411075459781], [11.297188760872091, 44.50411091163522], [11.295500323225324, 44.50475416535073], [11.29549910395363, 44.50475469493555], [11.295497977412376, 44.504755320538564], [11.295442672866068, 44.50478976757937], [11.29544122583363, 44.50479083143175], [11.29544004379005, 44.50479205090877], [11.295439158979102, 44.50479339274558], [11.295438595536671, 44.504794820339434], [11.29543836883237, 44.504796294748374], [11.295438485050287, 44.50479777575332], [11.295438941020272, 44.50479922295528], [11.295439724304453, 44.504800596877345], [11.295440813536452, 44.504801860041574], [11.295442179004253, 44.504802977991304], [11.29544378346067, 44.50480392023115], [11.29544558313937, 44.50480466105871], [11.295447528948742, 44.50480518026579], [11.29544956781101, 44.50480546368961], [11.295451644110093, 44.50480550359911], [11.29545370120871, 44.5048052989058], [11.295455682993332, 44.5048048551935], [11.295457535404848, 44.50480418456591], [11.295459207913197, 44.504803305316514], [11.295513439691046, 44.504769528860294], [11.297200443717921, 44.50412682056797], [11.297742885321616, 44.503939008428], [11.297743620015332, 44.50393873293324], [11.298239251618503, 44.50373708605755], [11.29867093387442, 44.50357565141251], [11.299400305667842, 44.503303563107984], [11.299402058327138, 44.50330277066407], [11.299403604991237, 44.50330178306489], [11.299404903579244, 44.50330062718054], [11.299405918759883, 44.50329933445985], [11.299406622912763, 44.503297940074695], [11.29940699687988, 44.50329648196308], [11.299407030486783, 44.50329499979695], [11.299406722819391, 44.503293533902664], [11.299406082248856, 44.50329212416393], [11.299405126203721, 44.503290808936434], [11.299403880695762, 44.503289624004516], [11.299402379612209, 44.50328860160723], [11.299400663793785, 44.50328776956147], [11.299398779923528, 44.503287150504946], [11.29939677925665, 44.50328676128045], [11.299394716226054, 44.50328661247746]]], ""type"": ""Polygon""}";1981-1985;1985
Borgo Panigale - Reno;Via;Lemonia;1935-06-25;Strade (79);da via Speranza a via Battindarno;0;Delibera del Podesta' 25 giugno 1935;Via Lemonia;Lemonia;Nominativo generico;Lemonia;1 - Delibere dal 1807 al 1945;29 gennaio 1935;Lemonia;;44.50646846024021, 11.29941072717969;"{""coordinates"": [[[11.301432208359106, 44.5055427192182], [11.301430147010016, 44.50554281206865], [11.30142813529243, 44.50554314419706], [11.301426227206614, 44.5055437066873], [11.301424473971226, 44.50554448443974], [11.30078605602173, 44.50588280202162], [11.300785717912987, 44.50588298650082], [11.300510003274963, 44.506039542867164], [11.300508700580691, 44.50604039524783], [11.300507578809963, 44.50604137001105], [11.300481303565464, 44.506067808485994], [11.30042227800685, 44.50611792564195], [11.30025544508742, 44.50621730935927], [11.300076670603445, 44.506309750909075], [11.300076125212014, 44.50631005029979], [11.300015202558864, 44.506345338421255], [11.29995475534336, 44.506370187310345], [11.299954249110282, 44.50637040476044], [11.299820773658455, 44.50643139266897], [11.299741849221016, 44.50646373980737], [11.299635644405207, 44.50650014666483], [11.299532827976536, 44.50652900631109], [11.29953275570528, 44.50652902732934], [11.299054200009074, 44.506660901327145], [11.298622529790867, 44.5067785844482], [11.298388097115842, 44.506843377666776], [11.298222571018133, 44.5068850791015], [11.298222450624754, 44.506885110243246], [11.297608325488369, 44.507045655973116], [11.297607874646632, 44.50704577951842], [11.29721015926773, 44.507162450340125], [11.297208211778466, 44.5071631692186], [11.29720646867735, 44.50716411859359], [11.297204982925587, 44.50716526961997], [11.297203799665276, 44.5071665873257], [11.297202954847826, 44.50716803167448], [11.29720247414166, 44.50716955878197], [11.297202372152274, 44.507171122249424], [11.297202651978527, 44.50717267457324], [11.297203305118405, 44.50717416858847], [11.29720431172741, 44.50717555890179], [11.297205641221435, 44.50717680327069], [11.29720725320603, 44.50717786388704], [11.297209098703735, 44.50717870852579], [11.29721112164215, 44.50717931152408], [11.297213260557625, 44.50717965456098], [11.29721545046272, 44.50717972721404], [11.297217624820764, 44.50717952727601], [11.297219717567456, 44.507179060821905], [11.297617206743029, 44.50706245604697], [11.298231050943048, 44.5069020010759], [11.298396762980538, 44.50686025332257], [11.298397114879545, 44.506860158947234], [11.298631622003619, 44.506795347590284], [11.2990632817321, 44.506677673998254], [11.299541951173879, 44.50654576875827], [11.299542023527984, 44.50654574993351], [11.299645327168784, 44.506516754680874], [11.299645949924162, 44.506516565986026], [11.299646166381622, 44.506516493605154], [11.29975319590145, 44.50647980741489], [11.299754001231623, 44.50647950520352], [11.29983358658274, 44.506446887900964], [11.299834101872571, 44.50644666484065], [11.299967637993955, 44.50638565510776], [11.30002867616007, 44.50636056234431], [11.300029590214956, 44.506360148912684], [11.300030321293855, 44.50635975682036], [11.300091772441764, 44.50632416429777], [11.300270579330556, 44.506231706868796], [11.30027125781191, 44.50623132987382], [11.300439312945283, 44.50613121950435], [11.300440160595661, 44.50613066324009], [11.30044086097596, 44.506130116182014], [11.300500933522523, 44.506079109706974], [11.300500989308258, 44.5060790604109], [11.300501561049215, 44.50607852823153], [11.300527098773095, 44.50605283499007], [11.300801255774662, 44.50589716343342], [11.301439506072937, 44.50555893939078], [11.301441068023422, 44.505557957681], [11.30144238150748, 44.505556805063065], [11.301443410581559, 44.505555513078846], [11.301444127085325, 44.505554117084095], [11.301444511412246, 44.505552655281164], [11.30144455304605, 44.50555116767332], [11.301444250848366, 44.505549694970064], [11.301443613089829, 44.50554827747302], [11.301442657223598, 44.505546953972896], [11.30144140940771, 44.505545760687994], [11.301439903789156, 44.50554473027302], [11.301438181569448, 44.505543890925466], [11.301436289877115, 44.505543265613895], [11.30143428047808, 44.50554287144959], [11.301432208359106, 44.5055427192182]]], ""type"": ""Polygon""}";1931-1935;1935
San Donato - San Vitale;Via;Serena;1933-06-03 e 1967-01-17;Strade (79);da viale della Repubblica a viale Aldo Moro;0;Delibera del Podesta' 3 giugno 1933 e Delibera del Consiglio Comunale 10 febbraio 1967;Via Serena;Serena;Nominativo generico;Serena;1 - Delibere 1807-1945 e 4 - Delibere 1966-1970;15 maggio 1933 e 17 gennaio 1967;Serena;;44.508347529383016, 11.360841677718426;"{""coordinates"": [[[11.36028223520829, 44.50724711866485], [11.360280172668523, 44.507247217226], [11.36027816075986, 44.50724755651318], [11.360276253920242, 44.50724812734601], [11.360274503744705, 44.50724891427895], [11.360272957589324, 44.50724989601927], [11.360271657289868, 44.50725104600306], [11.360270638029817, 44.50725233311417], [11.360269927388357, 44.50725372252595], [11.360269544594123, 44.50725517664379], [11.360269500004932, 44.507256656122195], [11.360269794827474, 44.50725812092948], [11.360270421084632, 44.50725953143091], [11.360336259675226, 44.507373972017874], [11.360351619570949, 44.50751756068872], [11.359909097334567, 44.50796426958138], [11.359908213119963, 44.507965302794574], [11.359907530989368, 44.50796641165297], [11.359907063346558, 44.507967575993234], [11.359906818695105, 44.50796877464318], [11.359902420223891, 44.50800886881245], [11.359902402383373, 44.50801008054076], [11.35990261180052, 44.508011282869084], [11.359903044687725, 44.50801245405144], [11.359903693215552, 44.508013572905014], [11.359929094642615, 44.508050187857464], [11.359930194299102, 44.50805148323905], [11.359931581664668, 44.508052628233], [11.359933217535616, 44.50805359048442], [11.360637759501127, 44.50840088795484], [11.362294659235705, 44.50926518730294], [11.36229653478033, 44.50926599632259], [11.362298578349261, 44.50926655977418], [11.362300727856086, 44.509266860539334], [11.36230291799584, 44.50926688948037], [11.362305082229067, 44.50926664571806], [11.362307154803396, 44.50926613665823], [11.36230907275118, 44.5092653777668], [11.362310777802556, 44.50926439209989], [11.362312218155768, 44.50926320960347], [11.36231335005096, 44.50926186620331], [11.362314139099665, 44.509260402713736], [11.36231456132958, 44.509258863597545], [11.362314603912855, 44.50925729561516], [11.362314265555826, 44.50925574640393], [11.362313556538297, 44.509254263031025], [11.362312498401222, 44.50925289056328], [11.362311123292265, 44.5092516706981], [11.362309472989091, 44.509250640496575], [11.36065247149348, 44.50838628657894], [11.360652196659863, 44.50838614841214], [11.359950164081596, 44.50804008551681], [11.359927751298363, 44.508007782638025], [11.359931604764498, 44.507972643353305], [11.360374745742506, 44.50752530942497], [11.360375846098192, 44.50752396413586], [11.360376606385364, 44.50752250343211], [11.360377003857774, 44.50752097101513], [11.3603770266239, 44.5075194127318], [11.360361167155009, 44.507371162573904], [11.360360866422905, 44.50736977665654], [11.36036026661712, 44.50736844167009], [11.360293661683006, 44.50725268741446], [11.360292707919909, 44.50725135742232], [11.36029145977876, 44.50725015873409], [11.360289951714881, 44.507249124439774], [11.360288225358794, 44.507248283091435], [11.360286328366959, 44.50724765791468], [11.360284313106238, 44.507247266167724], [11.36028223520829, 44.50724711866485]]], ""type"": ""Polygon""}";1966-1970;1967
